nome,categoria_origem,venue,bairro,dias_apresentacao,desconto_percentual,preco_bruto,url_origem,sinopse_oficial,horarios_sessao,duracao_minutos,idade_minima,idade_maxima,preco_inteira_centavos,url_ingresso
O Mágico de Oz,Teatro Infantil,Teatro Clara Nunes - Shopping da Gávea,Gávea,"Dias 30, 31",50%,de R$100,https://clubinhodeofertas.com.br/rio-de-janeiro/o-magico-de-oz-3951,"Venha atravessar a estrada dos tijolos amarelos e se encantar com o clássico O Mágico de OZ no teatro Clara Nunes! Apresentações sábados e domingos às 15h no Teatro Clara Nunes. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Encenado por 25 atores mirins com idades entre 07 e 14 anos, será um espetáculo de criança para criança, que promete encantar todas as famílias. ⏰ HORÁRIOS: 📆Sábados e domingos - 15h Classificação: Livre Sobre o espetáculo: Entre raios e trovões, dez crianças de um orfanato acordam assustadas no meio da madrugada. O barulho ensurdecedor não as deixa dormir. A madre superiora tenta acalmá-las contando a história O Mágico de OZ. Os personagens saem do livro e ganham vida na imaginação de cada órfão. Encenado por 25 atores mirins com idades entre 07 e 14 anos, será um espetáculo de criança para criança, que promete encantar todas as famílias. O público será convidado a atravessar a estrada ao buscar os seus assentos, pois a magia começa desde a entrada no teatro!",30/05 às 15:00 | 31/05 às 15:00,60,2,12,10000,https://clubinhodeofertas.com.br/rio-de-janeiro/o-magico-de-oz-3951
A Assembleia das Bruxas,Teatro Infantil,Teatro Dercy Gonçalves - Grajaú Country Club,Grajaú,"Dias 14/06, 20/06, 21/06, 27/06",51%,de R$60,https://clubinhodeofertas.com.br/rio-de-janeiro/a-assembleia-das-bruxas-3983,"Duas irmãs irão enfrentar os bruxos em uma divertidia aventura. Apresentações aos sábados e domingos às 16h no Teatro Dercy Gonçalves. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Em uma floresta, a Bruxa Rainha reúne todos os bruxos com um único objetivo: transformar todas as crianças em pequenos ratos. ⏰ HORÁRIOS: 📆Sábados e domingos -16h Classificação: Livre 👶Idade Pagante: Criança de todas as idades pagam ingressos. Sobre o espetáculo: Em uma floresta, a Bruxa Rainha reúne todos os bruxos com um único objetivo: transformar todas as crianças em pequenos ratos. No entanto, encontram um obstáculo: duas meninas, que escutam o plano diabólico da malvada. Uma delas acaba sendo capturada pelos bruxos e sua irmã sai em busca da única fada que reside na floresta. Juntas, elas irão enfrentar os bruxos em uma divertida aventura.",14/06 às 16:00 | 20/06 às 16:00 | 21/06 às 16:00 | 27/06 às 16:00,1,2,12,6000,https://clubinhodeofertas.com.br/rio-de-janeiro/a-assembleia-das-bruxas-3983
Top 10 da Galinha Pintadinha,Teatro Infantil,Teatro Bangu Shopping,Bangu,Somente dia 06/06,50%,de R$80,https://clubinhodeofertas.com.br/rio-de-janeiro/top-10-da-galinha-pintadinha-3220,"Prepare-se para momentos inesquecíveis de muita música e diversão com a personagem infantil mais querida do Brasil. Única apresentação 06 de Junho às 15h no Teatro Bangu Shopping. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. A Galinha Pintadinha, ícone infantil que conquistou milhões de corações pelo mundo, desembarca mais uma vez no Rio de Janeiro para encantar crianças e famílias com o espetáculo ""TOP 10 DA GALINHA PINTADINHA"". ⏰HORÁRIOS: 📆06/06 - 15h Classificação: Livre Sobre o espetáculo: Prepare-se para momentos inesquecíveis de muita música e diversão com a personagem infantil mais querida do Brasil A Galinha Pintadinha, ícone infantil que conquistou milhões de corações pelo mundo, desembarca mais uma vez no Rio de Janeiro para encantar crianças e famílias com o espetáculo ""TOP 10 DA GALINHA PINTADINHA"". ""TOP 10 DA GALINHA PINTADINHA"" promete encantar crianças e adultos com uma seleção das músicas mais amadas da Popó e sua turma. No show, o público é transportado para um universo mágico, onde canções como ""Pintinho Amarelinho"", ""A Baratinha"" e ""Mariana"" ganham vida em performances repletas de cores, dança e interatividade. O novo show, apresent",06/06 às 15:00,60,2,12,8000,https://clubinhodeofertas.com.br/rio-de-janeiro/top-10-da-galinha-pintadinha-3220
